perf,gem5,% difference
913874,97672,-835.656073388484
943064,135591,-595.5210891578349
2068826,1836261,-12.665138561457223
912850,171595,-431.9793700282642
910074,175471,-418.6463860125035
921390,121519,-658.2271085180096
940316,64300,-1362.3888024883358
59244495,110627260,46.44674829693875
1003450,268491,-273.7369222804489
2148212,131375,-1535.1756422454805
916958,61564,-1389.4386329673187
1015152,182497,-456.2568151805235
2039322,610240,-234.18359989512322
1431584,321358,-345.4794963872068
1092734,422436,-158.67445009421544
999233,232449,-329.871928896231
950380,135892,-599.3642009831336
1009262,84991,-1087.4927933545905
940643,101116,-830.2612840697813
874852,89588,-876.5281064428272
921898,68850,-1238.9949164851125
864470,84713,-920.4691133592247
1266230,2487592,49.098164007602534
1988874,319834,-521.8457074607453
1678322,924351,-81.56760797575812
991404,272473,-263.85403324366087
1024695,378198,-170.9414116415211
1000484,338964,-195.15936795647914
1038205,150858,-588.2001617415052
2691546,3183333,15.448807900398734
2012816,2354936,14.527783345279872
10509955,2452794,-328.4891026315296
9780256,986587,-891.3222047320713
12473457,3247762,-284.06314871594657
67466614,13151672,-412.9888732018256
72883492,13036932,-459.05401669656635
1989583,244604,-713.3893967392194
7529321,244750,-2976.331358529111
6132238,727919,-742.4341169827961
1066489,132492,-704.9459590012982
